2022-03-24 22:33:40,201 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,207 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,212 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,217 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,223 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,228 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,233 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,239 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,244 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,249 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,254 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,259 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,265 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,270 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,275 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,281 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,286 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,291 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,297 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,302 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,307 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,312 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,317 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,322 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,328 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,333 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,338 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,344 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,349 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,355 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,360 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,365 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,370 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,376 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,381 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,387 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,392 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,397 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,403 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,409 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,414 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,419 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,424 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,429 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,434 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,440 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,445 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,450 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,456 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,461 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,466 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,472 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,477 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,483 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:40,489 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
